fold,horizon,status,train_n,test_n,raw_auc,raw_msr,raw_x0,raw_x1,filtered_auc,filtered_msr,filtered_x0,filtered_x1,residual_auc,residual_msr,residual_x0,residual_x1,error
Auction_MinMax_CF_6,k=30,ok,142506,25841,0.5169014376570483,0.2500034315770429,-0.008438996830133648,-0.009389889640279942,0.5159576210578841,0.24993899491129135,0.013430502023820193,0.0973652751783367,0.5351325197471752,0.24872684417380017,-0.0008125107711487722,-0.2542113739012318,
Auction_MinMax_CF_6,k=50,ok,171747,31005,0.5243252900390021,0.2497898832941396,-0.007377300172123708,-0.04217230763197635,0.5289515621910683,0.24939292634990873,-0.022375234508381497,-0.11084372444151536,0.5213643786610267,0.24984613719959017,-0.003959510655042494,0.21155191025725997,
Auction_MinMax_CF_6,k=100,ok,204845,36502,0.4872858711068413,0.25006682274578207,0.009846197495553242,0.027269141379719426,0.5259363259116934,0.24952306955189685,-0.013079961027174371,-0.08501873311774445,0.530469376998443,0.24945540603021193,-0.0016884447447542798,0.2726259059449465,
Auction_MinMax_CF_7,k=10,ok,103961,14502,0.5926744854066073,0.24377887495830197,0.007496525274979345,-0.47780075068632366,0.5070483116849864,0.2500083852902049,-0.005565196144320673,-0.015901174346355792,0.5917106753534386,0.24281292296839269,-0.015080215067270034,-0.7273270086097183,
Auction_MinMax_CF_7,k=20,ok,140834,19917,0.5073562957081037,0.2501960454232811,-0.00611112993454949,0.14304442865137487,0.5615016248129239,0.2481652427812544,-0.016280887129586603,0.3403789106075614,0.5589073269624603,0.24695720809711547,-0.008376975947612185,-0.4802987006500795,
Auction_MinMax_CF_7,k=30,ok,168347,24024,0.5222182011708355,0.24987814631597258,0.0017418845149580185,-0.020172779390819007,0.510478755561121,0.2500909928498737,-0.0021582849912434,0.07614562463242532,0.5275690866021768,0.24920748418351157,-0.0015110013484773144,-0.20476127550226123,
Auction_MinMax_CF_7,k=50,ok,202752,29729,0.5343052894206216,0.24946008766615907,0.011229552736085797,-0.05285797222491402,0.5360199790665512,0.2488178930261541,0.015127546851559837,-0.13554480673478508,0.5208821508662969,0.24978836681674269,0.012000275899580838,0.21712413908289133,
Auction_MinMax_CF_7,k=100,ok,241347,37558,0.4703629018934389,0.2499308776907022,0.011719549950905723,0.016713277841477775,0.5401110397654286,0.24880223150447825,0.016844726306294196,-0.11023956846150049,0.5306854666053211,0.24929425186963747,0.016091865311360844,0.29227830903709173,
Auction_MinMax_CF_8,k=10,ok,118463,15490,0.5915110366895626,0.24401657719464245,-0.01739987577689297,-0.4931406699768395,0.49870651864125537,0.2499669069275915,0.0033233911736849924,-0.03339294952863921,0.5907037684211004,0.2423720676011427,-0.0033926192813821714,-0.7217467462059527,
Auction_MinMax_CF_8,k=20,ok,160751,21085,0.5129102707021412,0.24989116969479094,0.016998965301269528,0.12889548375299117,0.5696561946946448,0.24747577483537303,0.02291797252247386,0.33037763784348406,0.5533054776538249,0.24709886604615558,0.007112120030518927,-0.4411846997324919,
Auction_MinMax_CF_8,k=30,ok,192371,25194,0.5117674655688884,0.24993308696810296,0.014735399494660557,-0.038199062329015404,0.5201511415572451,0.24987151695118442,0.01845347462980509,0.061970227481790034,0.5236319839139616,0.2492627929278935,0.014413130108663907,-0.1951525214294996,
Auction_MinMax_CF_8,k=50,ok,232481,30918,0.5164606565212471,0.2498649256234331,0.020907282924899368,-0.07799665025931682,0.5228844981048761,0.24954238259852304,0.019170283298330815,-0.1577674326352462,0.5247000211067963,0.2498255300283743,0.026634751485810494,0.2065237877350387,
